Country,year,value,group
Benin,1962,90,low-income
Burkina Faso,1962,80,low-income
Burundi,1962,70,low-income
Cen. African Rep.,1962,80,low-income
Chad,1962,110,low-income
"Congo, Dem. Rep.",1962,230,low-income
Kenya,1962,100,low-income
Liberia,1962,160,low-income
Madagascar,1962,130,low-income
Malawi,1962,50,low-income
Nepal,1962,60,low-income
Niger,1962,150,low-income
Rwanda,1962,40,low-income
Togo,1962,90,low-income
Zimbabwe,1962,270,low-income
Benin,1963,100,low-income
Burkina Faso,1963,80,low-income
Burundi,1963,80,low-income
Cen. African Rep.,1963,80,low-income
Chad,1963,110,low-income
"Congo, Dem. Rep.",1963,270,low-income
Kenya,1963,100,low-income
Liberia,1963,160,low-income
Madagascar,1963,130,low-income
Malawi,1963,50,low-income
Nepal,1963,50,low-income
Niger,1963,160,low-income
Rwanda,1963,40,low-income
Togo,1963,90,low-income
Zimbabwe,1963,280,low-income
Benin,1964,110,low-income
Burkina Faso,1964,80,low-income
Burundi,1964,80,low-income
Cen. African Rep.,1964,80,low-income
Chad,1964,110,low-income
"Congo, Dem. Rep.",1964,230,low-income
Kenya,1964,110,low-income
Liberia,1964,190,low-income
Madagascar,1964,140,low-income
Malawi,1964,50,low-income
Nepal,1964,50,low-income
Niger,1964,160,low-income
Rwanda,1964,40,low-income
Sierra Leone,1964,170,low-income
Togo,1964,100,low-income
Zimbabwe,1964,260,low-income
Benin,1965,110,low-income
Burkina Faso,1965,80,low-income
Burundi,1965,70,low-income
Cen. African Rep.,1965,90,low-income
Chad,1965,120,low-income
"Congo, Dem. Rep.",1965,230,low-income
Kenya,1965,110,low-income
Liberia,1965,200,low-income
Madagascar,1965,140,low-income
Malawi,1965,60,low-income
Nepal,1965,60,low-income
Niger,1965,170,low-income
Rwanda,1965,40,low-income
Sierra Leone,1965,170,low-income
Togo,1965,110,low-income
Zimbabwe,1965,280,low-income
Benin,1966,110,low-income
Burkina Faso,1966,80,low-income
Burundi,1966,60,low-income
Cen. African Rep.,1966,90,low-income
Chad,1966,120,low-income
"Congo, Dem. Rep.",1966,220,low-income
Kenya,1966,120,low-income
Liberia,1966,210,low-income
Madagascar,1966,150,low-income
Malawi,1966,60,low-income
Nepal,1966,70,low-income
Niger,1966,170,low-income
Rwanda,1966,40,low-income
Sierra Leone,1966,170,low-income
Togo,1966,120,low-income
Zimbabwe,1966,290,low-income
Benin,1967,120,low-income
Burkina Faso,1967,90,low-income
Burundi,1967,60,low-income
Cen. African Rep.,1967,100,low-income
Chad,1967,130,low-income
"Congo, Dem. Rep.",1967,220,low-income
Kenya,1967,120,low-income
Liberia,1967,220,low-income
Madagascar,1967,160,low-income
Malawi,1967,70,low-income
Nepal,1967,80,low-income
Niger,1967,170,low-income
