einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;titelgruppe;tgr-text
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0101;Bundespräsident;23201;187;Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen; ;6;0;;
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0101;Bundespräsident;52901;011;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen;nein;6;780;;
01;Bundespräsident und Bundespräsidialamt;A;Zuweisungen und Zuschüsse (ohne Investitionen);0101;Bundespräsident;68101;011;Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.;nein;6;1348;;
01;Bundespräsident und Bundespräsidialamt;A;Zuweisungen und Zuschüsse (ohne Investitionen);0101;Bundespräsident;68401;187;Deutsche Künstlerhilfe;nein;7;2300;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;42101;011;Bezüge des Bundespräsidenten;ja;7;226;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;42102;011;Aufwandsgeld;ja;7;78;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;45301;011;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen;ja;7;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;54501;011;Konferenzen, Tagungen, Messen und Ausstellungen;ja;8;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;28209;011;Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen; ;10;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;11957;018;Vermischte Einnahmen; ;10;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;23257;018;Beteiligung an den Versorgungslasten des Bundes; ;10;190;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54201;013;Öffentlichkeitsarbeit;nein;10;268;;
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54709;011;Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden;nein;11;0;;
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43157;018;Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen;nein;11;1115;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43257;018;Versorgungsbezüge;nein;11;3289;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43457;018;Zuführung an die Versorgungsrücklage;nein;11;152;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
